PIPELINE_NAME,SOURCE_TABLE,TARGET_TABLE,LOAD_TYPE,LOAD_MODE,ACTIVE_FLAG,PIPELINE_DESCRIPTION
LOAD_CUSTOMER,BRONZE.CUSTOMER_RAW,SILVER.CUSTOMER_CLEAN,FULL,TRUNCATE_INSERT,TRUE,Customer Silver Transformation
LOAD_PRODUCT,BRONZE.PRODUCT_RAW,SILVER.PRODUCT_CLEAN,FULL,TRUNCATE_INSERT,TRUE,Product Silver Transformation
LOAD_SALES_DETAIL,BRONZE.SALES_ORDER_HEADER_RAW,SILVER.SALES_ORDER_HEADER_CLEAN,FULL,TRUNCATE_INSERT,TRUE,Sales Order Header Transformation
LOAD_SALES_HEADER,BRONZE.SALES_ORDER_DETAIL_RAW,SILVER.SALES_ORDER_DETAIL_CLEAN,FULL,TRUNCATE_INSERT,TRUE,Sales Order Detail Transformation
